Rower,Stroke,AveragePower_Watts,EffectiveLength_Degrees
Rower_1,1,44.434966094563414,68.4375
Rower_1,2,87.03172007111944,65.625
Rower_1,3,96.67993696078747,66.0
Rower_1,4,111.78363888474115,68.4375
Rower_1,5,114.62326531121256,67.4375
Rower_1,6,120.55184978252036,65.5
Rower_1,7,123.30876294980132,69.375
Rower_1,8,122.87640055476076,63.625
Rower_1,9,116.40696991117095,64.0625
Rower_1,10,119.65320100254674,64.8125
Rower_1,11,121.5524489440014,67.9375
Rower_1,12,122.06249694006206,66.5625
Rower_1,13,114.50171450914895,63.4375
Rower_1,14,115.28782984419632,63.875
Rower_1,15,110.71035481556078,61.9375
Rower_1,16,109.9387374914126,61.375
Rower_1,17,109.73084627336408,60.8125
Rower_1,18,108.31885180385179,62.9375
Rower_1,19,118.05330234293132,64.4375
Rower_1,20,101.65024119555586,62.1875
Rower_1,21,111.24317437947693,61.9375
Rower_1,22,117.18399426983726,65.0625
Rower_1,23,112.88705230854495,65.25
Rower_1,24,114.51909436668831,63.125
Rower_1,25,110.89323764712447,61.6875
Rower_1,26,116.60743649105675,62.25
Rower_1,27,116.39663737840003,61.5625
Rower_1,28,113.49503314577527,64.25
Rower_1,29,115.59969289506343,59.0
Rower_1,30,103.2955444114723,60.5625
Rower_1,31,113.73046347251902,60.6875
Rower_1,32,110.38367825733954,65.3125
Rower_1,33,108.2440874082771,67.75
Rower_1,34,110.68299451421679,66.3125
Rower_1,35,112.04336501943929,66.75
Rower_1,36,106.40355229296723,65.375
Rower_1,37,113.09375930994896,62.75
Rower_1,38,113.572036394016,66.5625
Rower_1,39,112.30070654684577,66.3125
Rower_1,40,114.35708938638426,66.75
Rower_1,41,111.53935376123685,62.875
Rower_1,42,106.4462988554558,65.75
Rower_1,43,110.20975188587784,64.1875
Rower_1,44,112.8640897977189,64.5
Rower_1,45,113.29048496822655,65.125
Rower_1,46,114.02807826549376,61.0625
Rower_1,47,117.56945871734618,61.25
Rower_1,48,111.72226747276362,65.5
Rower_1,49,119.38386005014974,62.75
Rower_1,50,117.75413517790942,63.75
Rower_1,51,114.33428727123244,62.4375
Rower_1,52,113.07847213975268,62.375
Rower_1,53,111.54825002790285,61.75
Rower_1,54,110.81045138056002,64.875
Rower_1,55,111.41885019034856,62.5
Rower_1,56,110.22098643316413,61.5
Rower_1,57,116.0021716908577,63.125
Rower_1,58,110.7500404085672,61.6875
Rower_1,59,112.02931537224576,67.5
Rower_1,60,116.45577423942134,64.875
Rower_1,61,117.49391815084631,65.5
Rower_1,62,114.19586277881467,65.25
Rower_1,63,109.01212743502575,66.75
Rower_1,64,111.69133690417493,62.75
Rower_1,65,108.71728470557281,62.5625
Rower_1,66,109.12860567615773,63.5625
Rower_1,67,112.98449606451938,61.5625
Rower_1,68,108.0304782720854,64.75
Rower_1,69,113.28692462814762,62.0
Rower_1,70,106.33900405002395,63.375
Rower_1,71,104.91033598182806,62.5
Rower_1,72,88.4464677704489,57.0
Rower_1,73,75.53799968092328,63.25
Rower_1,74,95.28386535023051,62.5
Rower_1,75,100.66763097327704,63.9375
Rower_1,76,103.9300092986741,64.125
Rower_1,77,106.01717493552542,65.75
Rower_1,78,108.36792170472364,62.1875
Rower_1,79,109.88118026182453,66.0
Rower_1,80,112.8390025810459,63.75
Rower_1,81,109.38800395185666,65.0625
Rower_1,82,110.53290516426148,65.625
Rower_1,83,111.63532706325154,63.5
Rower_1,84,118.38406411401868,65.8125
Rower_1,85,114.1322427896387,63.875
Rower_1,86,103.27254662378927,61.8125
Rower_1,87,107.5277785315762,61.25
Rower_1,88,109.67536337500462,61.5625
Rower_1,89,110.04073436687484,62.0
Rower_1,90,103.99529668969501,63.6875
Rower_1,91,107.1313073481828,62.3125
Rower_1,92,103.1013795345415,64.1875
Rower_1,93,111.29891462815023,61.75
Rower_1,94,105.80632878235386,65.4375
Rower_1,95,110.81344669284566,63.625
Rower_1,96,104.56211155784818,65.375
Rower_1,97,107.60725440631292,62.8125
Rower_1,98,112.22679563079149,66.1875
Rower_1,99,111.06209037911418,63.5
Rower_1,100,109.97726913814287,63.9375
Rower_1,101,106.94277534501097,63.5625
Rower_1,102,114.64080511186845,65.0625
Rower_1,103,108.77328585234017,64.4375
Rower_1,104,114.00563182150871,64.625
Rower_1,105,112.66123223341133,65.3125
Rower_1,106,112.53426576297036,62.6875
Rower_1,107,111.59845886224443,62.375
Rower_1,108,114.45148367421505,63.0
Rower_1,109,106.5466339335566,64.375
Rower_1,110,107.64020348151328,62.5625
Rower_1,111,108.69881126200409,62.5
Rower_1,112,110.41873482722181,58.9375
Rower_1,113,98.91761219588729,61.5
Rower_1,114,104.18339257481432,62.25
Rower_1,115,70.57215955401445,53.0
Rower_1,116,59.18570621568513,55.5
Rower_1,117,87.35101275993556,61.5
Rower_1,118,98.09906144480645,63.5625
Rower_1,119,107.35748887128847,63.5
Rower_1,120,103.85572053342356,64.0625
Rower_1,121,106.07450689091776,63.6875
Rower_1,122,110.0004556415212,63.8125
Rower_1,123,116.59147418613111,63.8125
Rower_1,124,113.30472043562222,66.75
Rower_1,125,110.1924906091236,65.75
Rower_1,126,118.72534342311238,65.1875
Rower_1,127,111.51512731310525,65.0625
Rower_1,128,114.6017301585858,63.5625
Rower_1,129,112.63563313258271,62.3125
Rower_1,130,115.61684180207031,61.75
Rower_1,131,108.10782586892196,60.125
Rower_1,132,97.47650158784968,60.75
Rower_1,133,111.38729933448798,62.9375
Rower_1,134,110.24533742357383,61.6875
Rower_1,135,101.12805127528924,61.0
Rower_1,136,100.2883865760936,62.0
Rower_1,137,105.09166008942128,61.9375
Rower_1,138,114.8788205087152,63.3125
Rower_1,139,108.79256633919196,64.0
Rower_1,140,111.62871097484606,65.8125
Rower_1,141,112.089188887594,62.5
Rower_1,142,104.24013861916282,61.9375
Rower_1,143,110.52792259734122,62.4375
Rower_1,144,102.05038086816059,60.375
Rower_1,145,100.8683566520403,61.375
Rower_1,146,101.31654163049166,59.6875
Rower_1,147,98.2407168673785,59.375
Rower_1,148,103.11971002808204,60.875
Rower_1,149,98.2315396389711,57.375
Rower_1,150,97.06072037763329,59.9375
Rower_1,151,105.04545445387122,62.25
Rower_1,152,99.15771108805208,60.5625
Rower_1,153,97.46449567323427,67.5
Rower_1,154,94.3729600682186,59.6875
Rower_1,155,95.32231198273954,59.375
Rower_1,156,105.6807039661408,62.0625
Rower_1,157,97.81605155684267,61.3125
Rower_1,158,94.92365486554489,58.125
Rower_1,159,85.08338558434923,57.8125
Rower_1,160,109.30086451969926,61.25
Rower_1,161,108.45580864421457,62.4375
Rower_1,162,103.89789089450048,62.125
Rower_1,163,101.92225549422147,61.1875
Rower_1,164,102.88944188213665,61.375
Rower_1,165,106.91448408349153,63.625
Rower_1,166,93.27650439181697,60.5625
Rower_1,167,99.9762120864027,62.8125
Rower_1,168,94.85529209872561,62.0625
Rower_1,169,96.0027417742585,60.875
Rower_1,170,96.206746048257,61.4375
Rower_1,171,95.53420881875904,61.625
Rower_1,172,96.25538467276294,61.5
Rower_1,173,103.72341634123975,60.5625
Rower_1,174,95.70780146264384,58.9375
Rower_1,175,102.8747348394345,59.875
Rower_1,176,100.47930838468083,60.4375
Rower_1,177,105.47058235109039,62.3125
Rower_1,178,107.54768117363187,61.625
Rower_1,179,94.30701223178525,58.125
Rower_1,180,111.39835015477978,60.875
Rower_1,181,112.16454154452092,63.125
Rower_1,182,111.55949494877345,62.6875
Rower_1,183,110.4669223164315,60.8125
Rower_1,184,112.62904272240554,62.4375
Rower_1,185,106.60649842258273,61.6875
Rower_1,186,105.78789612302218,62.375
Rower_1,187,104.63330757463675,63.4375
Rower_1,188,105.29471138133991,59.5
Rower_1,189,113.31536921625218,58.375
Rower_1,190,88.35786838900096,57.8125
Rower_1,191,107.87493954687515,60.875
Rower_1,192,108.84206411376522,60.875
Rower_1,193,100.68474849159588,60.875
Rower_1,194,100.98788812811688,58.8125
Rower_1,195,106.81378454524824,60.0
Rower_1,196,100.2807011504962,62.375
Rower_1,197,104.31375349551666,62.5
Rower_1,198,100.68568037664602,61.125
Rower_1,199,107.66655921204418,62.0625
Rower_1,200,102.73204892899005,61.0
Rower_1,201,103.76323102914257,61.0
Rower_1,202,103.96100626824763,61.125
Rower_1,203,98.21500473983754,60.125
Rower_1,204,107.02278392168853,58.5625
Rower_1,205,101.34966521684662,62.1875
Rower_1,206,102.42379587628616,60.375
Rower_1,207,111.50102297301851,61.25
Rower_1,208,106.5397264067372,62.6875
Rower_1,209,107.76935014171556,60.6875
Rower_1,210,112.50085917274296,59.8125
Rower_1,211,115.64460934799543,62.3125
Rower_1,212,117.16841343653547,61.3125
Rower_1,213,121.88734513192989,61.875
Rower_1,214,116.70235503421918,65.3125
Rower_1,215,112.43052902847815,61.5625
Rower_1,216,116.99172139650003,64.1875
Rower_1,217,112.18657643626689,61.25
Rower_1,218,112.887535824139,60.8125
Rower_1,219,106.92593555701355,62.3125
Rower_1,220,103.34592011963655,56.375
Rower_1,221,98.89715773075906,57.0
Rower_1,222,99.78628299619108,58.25
Rower_1,223,98.91337112766432,56.375
Rower_1,224,104.83970363260309,60.5625
Rower_1,225,112.03587370369542,60.5
Rower_1,226,94.03878411129374,53.9375
Rower_1,227,11.081574891331522,1.375
Rower_1,229,17.256978822826362,26.1875
Rower_1,230,43.73524677344037,69.4375
Rower_1,231,74.73044798615581,66.75
Rower_1,232,86.4205960750203,68.6875
Rower_1,233,96.66483627015664,68.875
Rower_1,234,104.49678846989747,66.75
Rower_1,235,111.65713395666074,67.25
Rower_1,236,110.71930972379812,64.5625
Rower_1,237,116.12206364335826,65.3125
Rower_1,238,112.24074693309139,66.25
Rower_1,239,107.96277504095545,66.75
Rower_1,240,104.32419081712337,64.8125
Rower_1,241,103.03948834044135,63.1875
Rower_1,242,106.79155261564296,62.625
Rower_1,243,103.35156126075698,63.4375
Rower_1,244,104.71766292619489,63.8125
Rower_1,245,107.36350427152831,65.6875
Rower_1,246,104.72311181563865,63.0
Rower_1,247,105.21568836878936,62.1875
Rower_1,248,106.09624645565431,64.3125
Rower_1,249,102.28880952904562,64.4375
Rower_1,250,106.94024559806805,62.0
Rower_1,251,104.01643833860751,64.6875
Rower_1,252,105.53881649035827,62.625
Rower_1,253,101.9446430246944,60.25
Rower_1,254,105.68015089566225,62.4375
Rower_1,255,101.68772887338147,59.0625
Rower_1,256,101.54855993763783,62.0625
Rower_1,257,99.19975539894743,60.9375
Rower_1,258,104.45351412407271,60.6875
Rower_1,259,96.14469384634435,59.25
Rower_1,260,106.21806731413054,63.875
Rower_1,261,106.79457387165824,59.5625
Rower_1,262,105.07925984219872,60.125
Rower_1,263,100.85050557188643,59.5625
Rower_1,264,106.38351548304853,58.375
Rower_1,265,101.67410044889861,60.125
Rower_1,266,107.73622817117788,62.3125
Rower_1,267,95.95496565710394,61.25
Rower_1,268,101.08019124399637,63.375
Rower_1,269,101.60849271609982,61.3125
Rower_1,270,102.69884389756582,59.9375
Rower_1,271,104.10790506050344,59.8125
Rower_1,272,96.13565523381968,60.375
Rower_1,273,102.59622765577319,61.125
Rower_1,274,99.9669017730518,62.625
Rower_1,275,98.79800487260334,59.25
Rower_1,276,103.33911168753593,60.3125
Rower_1,277,84.24289147087708,55.8125
Rower_1,278,96.78160954701187,61.9375
Rower_1,279,106.62922651325142,63.0625
Rower_1,280,102.71464744260487,61.8125
Rower_1,281,89.6618230194791,59.9375
Rower_1,282,103.4145423920651,58.1875
Rower_1,283,100.32001630750453,60.6875
Rower_1,284,100.03582285590078,61.3125
Rower_1,285,104.43505513783533,62.0625
Rower_1,286,99.43170319168159,62.125
Rower_1,287,96.831162933054,61.0
Rower_1,288,96.08626756349861,60.0
Rower_1,289,102.5102571202523,63.25
Rower_1,290,109.21774679641761,63.3125
Rower_1,291,101.45925523073673,63.375
Rower_1,292,95.53621932043167,63.0625
Rower_1,293,103.08037481987019,60.75
Rower_1,294,101.78051792155381,62.6875
Rower_1,295,96.18266314130025,61.125
Rower_1,296,96.28003022248996,63.375
Rower_1,297,94.18151777664357,63.1875
Rower_1,298,97.52189902414123,63.25
Rower_1,299,95.94727549329185,59.5625
Rower_1,300,99.09278225801084,64.375
Rower_1,301,99.74707046298084,63.375
Rower_1,302,97.58995492098201,62.3125
Rower_1,303,104.58200680863041,61.75
Rower_1,304,104.86152180111868,61.25
Rower_1,305,112.4773111588114,59.5625
Rower_1,306,102.13432030395818,61.5
Rower_1,307,105.45321141793211,61.3125
Rower_1,308,106.34200391082973,63.625
Rower_1,309,106.49622651884266,61.125
Rower_1,310,101.58432798200548,58.3125
Rower_1,311,102.39090853307789,61.8125
Rower_1,312,107.18671177294316,56.75
Rower_1,313,97.96921628446839,60.6875
Rower_1,314,102.48330555502864,58.125
Rower_1,315,103.89684746105398,61.875
Rower_1,316,109.38432954820017,61.875
Rower_1,317,109.64969941344219,58.9375
Rower_1,318,96.33888422894445,63.9375
Rower_1,319,102.25909208157123,63.25
Rower_1,320,107.653786954404,64.3125
Rower_1,321,96.73239080750943,59.875
Rower_1,322,97.90606399159505,62.3125
Rower_1,323,106.07278456981932,60.125
Rower_1,324,101.82189861441634,58.5625
Rower_1,325,102.16976017257728,61.125
Rower_1,326,92.75475052084686,60.9375
Rower_1,327,98.80611442284358,59.875
Rower_1,328,103.6476406238102,60.8125
Rower_1,329,98.86463713673064,62.875
Rower_1,330,91.32413339069218,59.625
Rower_1,331,98.84877075698418,59.75
Rower_1,332,92.02861433443981,58.875
Rower_1,333,94.6788061047137,59.3125
Rower_1,334,91.12864547228598,57.375
Rower_1,335,90.82329224833688,57.5
Rower_1,336,91.7805712686565,56.125
Rower_1,337,88.86616506503033,59.0625
Rower_1,338,96.59745852987679,61.625
Rower_1,339,98.12305326697084,57.4375
Rower_1,340,91.2015183965967,58.6875
Rower_1,341,100.85459753706675,60.3125
Rower_1,342,95.27695371550149,61.1875
Rower_1,343,93.13852974339055,60.3125
Rower_1,344,98.17506189984904,57.9375
Rower_1,345,99.05239234362772,59.125
Rower_1,346,96.0478255927127,62.0625
Rower_1,347,83.94259510413467,57.9375
Rower_1,348,94.42963210657764,57.625
Rower_1,349,97.23496265070897,62.4375
Rower_1,350,96.47353266849487,62.9375
Rower_1,351,99.15533875138911,60.0625
Rower_1,352,100.57530834582273,61.75
Rower_1,353,96.93894605955208,63.375
Rower_1,354,109.81130740178227,64.625
Rower_1,355,105.48767801361251,62.8125
Rower_1,356,102.66934506359516,62.875
Rower_1,357,110.05363769324882,59.0625
Rower_1,358,95.19059236063376,60.6875
Rower_1,359,99.14325065443519,61.375
Rower_1,360,97.97627198272907,61.4375
Rower_1,361,103.1446275488875,59.75
Rower_1,362,92.38322292826571,58.8125
Rower_1,363,95.30313061130514,60.5625
Rower_1,364,100.71487165575634,60.4375
Rower_1,365,94.20031870999465,56.5625
Rower_1,366,84.23587234913099,56.1875
Rower_1,367,58.384706412318806,50.375
Rower_1,368,97.02725739986573,57.1875
Rower_1,369,100.19318079834555,60.375
Rower_1,370,73.35250001602768,56.0
Rower_1,371,76.45402323168395,56.3125
Rower_1,372,67.543705571334,51.125
Rower_1,373,97.61783123354837,59.375
Rower_1,374,91.4430984500825,60.5625
Rower_1,375,99.45747536895932,64.375
Rower_1,376,89.50661135303955,60.25
Rower_1,377,96.3604939827065,62.0
Rower_1,378,84.37433585285387,57.9375
Rower_1,379,91.87640166675507,59.5625
Rower_1,380,89.86970600156023,58.625
Rower_1,381,88.98883286886637,58.6875
