Rower,Piece,AveragePower_Watts,EffectiveLength_Degrees
Rower_1,1,24.467222882090393,100.75
Rower_2,1,20.345314697538452,102.9375
Rower_3,1,20.183706478889334,89.5
Rower_4,1,19.451889468412833,96.0625
Rower_5,1,24.05274092824204,102.1875
Rower_6,1,24.37898572330682,110.75
Rower_7,1,23.856100318669917,100.0
Rower_8,1,23.613195132878328,85.6875
Rower_1,2,23.39075127799353,99.375
Rower_2,2,17.49322852377207,99.625
Rower_3,2,19.270179283621783,89.5
Rower_4,2,16.858035057551632,93.8125
Rower_5,2,24.558729868029697,99.8125
Rower_6,2,17.24486067721033,111.5625
Rower_7,2,22.533957031648963,100.625
Rower_8,2,23.080319113464473,83.6875
Rower_1,3,19.357853283301438,101.0625
Rower_2,3,20.584843920080854,99.5625
Rower_3,3,18.127796560435147,90.75
Rower_4,3,19.72286713539463,96.9375
Rower_5,3,17.3913179525051,99.4375
Rower_6,3,0.04517423493998241,37.375
Rower_7,3,19.424817562287817,104.625
Rower_8,3,24.221670867478235,87.1875
